gml_id,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,bdfi33_value,bdfi33_value_avg,bdfi33_method,bdfi33_date,bdfi33_dataset_id,bdfi33_profile_code,bdfi33_licence
wosis_latest_bdfi33.846351,"176579","846351",Argentina,"0","28",Ap,"0","{1:1.50,2:1.50,3:1.45,4:1.45,5:1.68,6:1.68}",1.54,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846352,"176579","846352",Argentina,"28","42",A1,"0","{1:1.78,2:1.78,3:1.60,4:1.60,5:1.57,6:1.57}",1.65,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846354,"176579","846354",Argentina,"66","80",2A3,"0","{1:1.44,2:1.44,3:1.73,4:1.73,5:1.53,6:1.53}",1.57,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846355,"176579","846355",Argentina,"80","100",2Bw,"0","{1:1.51,2:1.51,3:1.38,4:1.38,5:1.75,6:1.75}",1.55,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846356,"176579","846356",Argentina,"100","118",2BC,"0","{1:1.70,2:1.70,3:1.46,4:1.46,5:1.36,6:1.36}",1.51,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846357,"176579","846357",Argentina,"118","126",2C,"0","{1:1.39,2:1.39,3:1.69,4:1.69,5:1.45,6:1.45}",1.51,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1061,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846359,"176580","846359",Argentina,"0","18",Ap,"0","{1:1.34,2:1.34,3:1.24,4:1.24,5:1.64,6:1.64}",1.41,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1062,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846360,"176580","846360",Argentina,"18","28",2Bt1,"0","{1:1.61,2:1.61,3:1.39,4:1.39,5:1.24,6:1.24}",1.41,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1062,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846361,"176580","846361",Argentina,"28","40",2Bt2,"0","{1:1.25,2:1.25,3:1.65,4:1.65,5:1.45,6:1.45}",1.45,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-28,2:1995-8-28,3:1995-8-28,4:1995-8-28,5:1995-8-28,6:1995-8-28}",US-NCSS,95P1062,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.846364,"176581","846364",Argentina,"0","20",Ap,"0","{1:1.30,2:1.30,3:1.22,4:1.22,5:1.56,6:1.56}",1.36,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1995-8-29,2:1995-8-29,3:1995-8-29,4:1995-8-29,5:1995-8-29,6:1995-8-29}",US-NCSS,95P1063,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
