gml_id,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,bdfi33_value,bdfi33_value_avg,bdfi33_method,bdfi33_date,bdfi33_dataset_id,bdfi33_profile_code,bdfi33_licence
wosis_latest_bdfi33.603180,"68580","603180",Chile,"0","26",Ap,"0","{1:1.18,2:1.18,3:0.74,4:0.74,5:0.69,6:0.69}",0.87,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0485,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603181,"68580","603181",Chile,"26","56",2Bw1,"0","{1:0.58,2:0.58,3:0.60,4:0.60,5:1.02,6:1.02}",0.73,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0485,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603182,"68580","603182",Chile,"56","88",2Bw2,"0","{1:1.04,2:1.04,3:0.59,4:0.59,5:0.53,6:0.53}",0.72,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0485,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603184,"68580","603184",Chile,"94","149",2C,"0","{1:0.99,2:0.99,3:1.03,4:1.03,5:1.52,6:1.52}",1.18,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0485,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603185,"68580","603185",Chile,"149","190",3C,"0","{1:1.30,2:1.30,3:0.92,4:0.92,5:0.89,6:0.89}",1.04,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0485,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603190,"68581","603190",Chile,"0","16",A,"0","{1:0.59,2:0.59,3:0.63,4:0.63,5:1.01,6:1.01}",0.74,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0499,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603191,"68581","603191",Chile,"16","30",B/A,"0","{1:0.94,2:0.94,3:0.46,4:0.46,5:0.41,6:0.41}",0.6,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0499,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603192,"68581","603192",Chile,"30","70",Bt1,"0","{1:0.37,2:0.37,3:0.53,4:0.53,5:0.98,6:0.98}",0.63,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0499,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603193,"68581","603193",Chile,"70","92",Bt2,"0","{1:1.02,2:1.02,3:0.58,4:0.58,5:0.44,6:0.44}",0.68,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0499,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
wosis_latest_bdfi33.603194,"68581","603194",Chile,"92","102",2Bqs,"0","{1:1.48,2:1.48,3:1.49,4:1.49,5:1.83,6:1.83}",1.6,"{""1:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""3:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""4:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""5:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified"",""6:calculation = not specified, corrections = not specified, measurement condition = equilibrated at 33 kPa (~1/3 bar), sample type = not specified""}","{1:1983-??-??,2:1983-??-??,3:1983-??-??,4:1983-??-??,5:1983-??-??,6:1983-??-??}",US-NCSS,83P0499,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
