gml_id,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,clay_value,clay_value_avg,clay_method,clay_date,clay_dataset_id,clay_profile_code,clay_licence
wosis_latest_clay.53190,"63821","53190",Argentina,"0","7",A,"0",{1:20.00},20,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53191,"63821","53191",Argentina,"7","23",2B,"0",{1:53.00},53,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53192,"63821","53192",Argentina,"23","45",3C1,"0",{1:54.00},54,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53193,"63821","53193",Argentina,"45","100",3C2,"0",{1:39.00},39,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53194,"63822","53194",Argentina,"0","25",A,"0",{1:15.00},15,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1986-11-1},AR-SOTER,AR SJ.87,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53195,"63823","53195",Argentina,"0","17",Ah1,"0",{1:17.00},17,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53196,"63823","53196",Argentina,"17","34",Ah2,"0",{1:15.00},15,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53197,"63823","53197",Argentina,"34","58",C1,"0",{1:12.00},12,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53198,"63823","53198",Argentina,"58","100",C2,"0",{1:11.00},11,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53199,"63824","53199",Argentina,"0","20",A,"0",{1:25.00},25,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53200,"63824","53200",Argentina,"20","70",Bt,"0",{1:45.00},45,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53201,"63824","53201",Argentina,"70","100",2B,"0",{1:61.00},61,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53202,"63825","53202",Argentina,"0","23",A,"0",{1:11.00},11,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1987-??-??},AR-SOTER,AR SE.VFIGUEROA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53203,"63825","53203",Argentina,"23","53",C1,"0",{1:9.00},9,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1987-??-??},AR-SOTER,AR SE.VFIGUEROA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53204,"63825","53204",Argentina,"53","100",C2,"0",{1:8.00},8,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1987-??-??},AR-SOTER,AR SE.VFIGUEROA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53205,"63826","53205",Argentina,"0","28",A,"0",{1:14.00},14,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1980-4-1},AR-SOTER,ARC.101RP,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53206,"63826","53206",Argentina,"28","56",2Bt,"0",{1:20.00},20,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1980-4-1},AR-SOTER,ARC.101RP,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53207,"63826","53207",Argentina,"56","100",2BCk,"0",{1:16.00},16,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1980-4-1},AR-SOTER,ARC.101RP,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53208,"63827","53208",Argentina,"0","13",A,"0",{1:14.00},14,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.CGALLO,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53209,"63827","53209",Argentina,"13","50",Bt,"0",{1:29.00},29,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.CGALLO,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53210,"63827","53210",Argentina,"50","80",B3,"0",{1:2.00},2,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.CGALLO,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53211,"63828","53211",Argentina,"0","25",A1,"0",{1:23.00},23,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1986-4-1},AR-SOTER,ARC.23-599,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53212,"63828","53212",Argentina,"25","48",AC,"0",{1:19.00},19,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1986-4-1},AR-SOTER,ARC.23-599,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53213,"63828","53213",Argentina,"48","100",C1,"0",{1:12.00},12,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1986-4-1},AR-SOTER,ARC.23-599,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53214,"63828","53214",Argentina,"100","120",C2k,"0",{1:10.00},10,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1986-4-1},AR-SOTER,ARC.23-599,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53215,"63829","53215",Argentina,"0","8",A,"0",{1:51.00},51,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-3-1},AR-SOTER,ARC.16-386PD,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.53216,"63829","53216",Argentina,"8","24",Bw,"0",{1:55.00},55,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1989-3-1},AR-SOTER,ARC.16-386PD,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
