gml_id,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,clay_value,clay_value_avg,clay_method,clay_date,clay_dataset_id,clay_profile_code,clay_licence
wosis_latest_clay.70705,"63871","70705",Chile,"0","12",Ap,"0",{1:62.00},62,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70706,"63871","70706",Chile,"12","39",BA,"0",{1:73.00},73,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70707,"63871","70707",Chile,"39","56",2B,"0",{1:79.00},79,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70708,"63871","70708",Chile,"56","72",2B,"0",{1:67.00},67,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70709,"63871","70709",Chile,"72","94",2B,"0",{1:61.00},61,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70710,"63871","70710",Chile,"94","140",2B,"0",{1:56.00},56,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL017,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70711,"63872","70711",Chile,"0","14",Ap,"0",{1:45.00},45,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70712,"63872","70712",Chile,"14","50",Bt1,"0",{1:71.00},71,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70713,"63872","70713",Chile,"50","97",Bt2,"0",{1:80.00},80,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70714,"63872","70714",Chile,"97","135",Bt3,"0",{1:60.00},60,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70715,"63872","70715",Chile,"135","165",,"0",{1:68.00},68,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70716,"63872","70716",Chile,"165","175",2C,"0",{1:58.00},58,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL015,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70717,"63873","70717",Chile,"0","20",Ap,"0",{1:24.00},24,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL020,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70718,"63873","70718",Chile,"20","39",,"0",{1:25.00},25,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL020,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70719,"63873","70719",Chile,"39","53",2B,"0",{1:33.00},33,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL020,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.70720,"63873","70720",Chile,"53","68",3C,"0",{1:38.00},38,"{""1:dispersion = not specified, instrument = not specified, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},LAC-SOTER,CL020,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.36955,"68546","36955",Chile,"0","11",Ap,"0",{1:22.00},22,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1970-??-??},WD-WISE,CL0033,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.36956,"68546","36956",Chile,"11","22",A,"0",{1:18.00},18,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1970-??-??},WD-WISE,CL0033,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.36957,"68546","36957",Chile,"22","46",2C1,"0",{1:16.00},16,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1970-??-??},WD-WISE,CL0033,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.36958,"68546","36958",Chile,"46","65",2C2,"0",{1:5.00},5,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:1970-??-??},WD-WISE,CL0033,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37007,"68553","37007",Chile,"0","17",Ap,"0",{1:19.00},19,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37008,"68553","37008",Chile,"17","44",A,"0",{1:23.00},23,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37009,"68553","37009",Chile,"44","60",,"0",{1:22.00},22,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37010,"68553","37010",Chile,"60","74",B1w,"0",{1:27.00},27,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37011,"68553","37011",Chile,"74","146",Bsw,"0",{1:24.00},24,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_clay.37012,"68553","37012",Chile,"146","190",C1,"0",{1:20.00},20,"{""1:dispersion = not specified, instrument = pipette, sample pretreatment = sieved over 2 mm sieve, size = 0 - 0.002 mm, treatment = not specified""}",{1:????-??-??},WD-WISE,CL0016,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
