gml_id,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,orgc_value,orgc_value_avg,orgc_method,orgc_date,orgc_dataset_id,orgc_profile_code,orgc_licence
wosis_latest_orgc.53190,"63821","53190",Argentina,"0","7",A,"0",{1:9.70},9.7,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53191,"63821","53191",Argentina,"7","23",2B,"0",{1:11.90},11.9,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53192,"63821","53192",Argentina,"23","45",3C1,"0",{1:14.00},14,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53193,"63821","53193",Argentina,"45","100",3C2,"0",{1:6.80},6.8,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:????-??-??},AR-SOTER,AR SC.P7,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53194,"63822","53194",Argentina,"0","25",A,"0",{1:5.00},5,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1986-11-1},AR-SOTER,AR SJ.87,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53195,"63823","53195",Argentina,"0","17",Ah1,"0",{1:2.00},2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53196,"63823","53196",Argentina,"17","34",Ah2,"0",{1:2.00},2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53197,"63823","53197",Argentina,"34","58",C1,"0",{1:3.00},3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53198,"63823","53198",Argentina,"58","100",C2,"0",{1:4.00},4,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}",{1:1978-3-1},AR-SOTER,AR RN.C.331,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53199,"63824","53199",Argentina,"0","20",A,"0",{1:22.10},22.1,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53200,"63824","53200",Argentina,"20","70",Bt,"0",{1:8.30},8.3,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53201,"63824","53201",Argentina,"70","100",2B,"0",{1:4.30},4.3,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1989-??-??},AR-SOTER,AR SE.BBAJADA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53202,"63825","53202",Argentina,"0","23",A,"0",{1:20.50},20.5,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1987-??-??},AR-SOTER,AR SE.VFIGUEROA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
wosis_latest_orgc.53203,"63825","53203",Argentina,"23","53",C1,"0",{1:3.60},3.6,"{""1:calculation = correction factor for recovery not specified, detection = not specified, reaction = wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture, sample pretreatment = sieved over 2 mm sieve, temperature = no external heat, treatment = not specified""}",{1:1987-??-??},AR-SOTER,AR SE.VFIGUEROA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/"
