gml_id,profile_id,dataset_id,continent,country_id,country_name,geom_accuracy,latitude,longitude,dsds,cfao_version,cfao_major_group_code,cfao_major_group,cfao_soil_unit_code,cfao_soil_unit,cwrb_version,cwrb_reference_soil_group_code,cwrb_reference_soil_group,cwrb_prefix_qualifier,cwrb_suffix_qualifier,cstx_version,cstx_order_name,cstx_suborder,cstx_great_group,cstx_subgroup,bdfi33,bdfiad,bdfifm,bdfiod,bdws33,bdwsod,cecph7,cecph8,cfgr,cfvo,clay,ecec,elco20,elco25,elco50,elcosp,nitkjd,orgc,orgm,phaq,phca,phetb1,phetm3,phetol,phkc,phnf,phprtn,phptot,phpwsl,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0100,wg0200,wg0500,wg1500,wv0010,wv0033,wv0100,wv0500,wv1500
wosis_latest_profiles.732827,"732827",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-51.91111755,-71.94090271,"30",,,,,,,,,,,,,,,,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722653,"722653",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.03952408,-71.66925049,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.623735,"623735",{WD-NWAFU-SCS},Americas,AR,Argentina,0.1,-35.5,-64.5,"10",,,,,,,,,,,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722741,"722741",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.29166794,-72.30059814,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722650,"722650",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.05085754,-71.68477631,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722760,"722760",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.47866821,-72.5539856,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722763,"722763",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.46547699,-72.56667328,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722762,"722762",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.48055267,-72.57507324,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722761,"722761",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.51691437,-72.59400177,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722537,"722537",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-45.5597496,-71.72908783,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722740,"722740",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.3162384,-72.26924896,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722739,"722739",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-48.31817245,-72.25719452,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.731443,"731443",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.58800125,-71.67299652,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.722649,"722649",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.05516052,-71.69158936,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.731445,"731445",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.58599854,-71.6740036,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.731446,"731446",{CL-CHLSOC},Americas,AR,Argentina,1e-06,-46.58800125,-71.67500305,"30",,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71912,"71912","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-46.13972222,-69.52972222,"100","1974",J,Fluvisol,c,Calcaric,"2006",FL,Fluvisol,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71801,"71801","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.1,-44.7,-69.52972222,"117","1974",R,Regosol,x,Gelic,"2006",RG,Regosol,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71896,"71896","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-37.68972222,-62.36,"25","1974",E,Rendzina,,,"2006",LP,Leptosol,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71838,"71838","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-27.89972222,-66.26972222,"100","1974",R,Regosol,e,Eutric,"2006",RG,Regosol,,,,,,,,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71847,"71847","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-37.93,-67.44,"40","1974",Y,Yermosol,k,Calcic,"2006",CL,Calcisol,,,,,,,,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71963,"71963","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-46.36,-68.15,"100","1974",R,Regosol,e,Eutric,"2006",RG,Regosol,,,,,,,,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71875,"71875","{AR-SOTER,LAC-SOTER,WD-WISE}",Americas,AR,Argentina,0.01,-42.79972222,-70.58,"100","1974",S,Solonetz,o,Orthic,"2006",SN,Solonetz,,,,,,,,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
