gml_id,profile_id,dataset_id,continent,country_id,country_name,geom_accuracy,latitude,longitude,dsds,cfao_version,cfao_major_group_code,cfao_major_group,cfao_soil_unit_code,cfao_soil_unit,cwrb_version,cwrb_reference_soil_group_code,cwrb_reference_soil_group,cwrb_prefix_qualifier,cwrb_suffix_qualifier,cstx_version,cstx_order_name,cstx_suborder,cstx_great_group,cstx_subgroup,bdfi33,bdfiad,bdfifm,bdfiod,bdws33,bdwsod,cecph7,cecph8,cfgr,cfvo,clay,ecec,elco20,elco25,elco50,elcosp,nitkjd,orgc,orgm,phaq,phca,phetb1,phetm3,phetol,phkc,phnf,phprtn,phptot,phpwsl,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0100,wg0200,wg0500,wg1500,wv0010,wv0033,wv0100,wv0500,wv1500
wosis_latest_profiles.623792,"623792",{WD-NWAFU-SCS},Americas,UY,Uruguay,1e-06,-34.61666489,-55.38333511,"10",,,,,,,,,,,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.69741,"69741","{WD-ISIS,WD-WISE}",Americas,UY,Uruguay,0.1,-31.08333333,-56.41666667,"153","1974",A,Acrisol,h,Humic,"1998",LV,Luvisol,"Endostagnic,Alic,Profondi,Umbric","Alumic,Hyperdystric",,,,,,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.69609,"69609","{WD-ISIS,WD-WISE}",Americas,UY,Uruguay,0.1,-32.66666667,-57.83333333,"137","1974",W,Planosol,e,Eutric,"1998",PL,Planosol,"Luvic,Luvic,Eutri",Eutric,,,,,,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.70922,"70922","{LAC-SOTER,WD-WISE}",Americas,UY,Uruguay,0.01,-33.09972222,-57.45,"114","1974",H,Phaeozem,h,Haplic,"2006",PH,Phaeozem,,,,Mollisol,Udoll,Hapludoll,Typic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68675,"68675",{WD-WISE},Americas,UY,Uruguay,0.1,-34.36666667,-57.16666667,"97","1974",H,Phaeozem,l,Luvic,"2006",PH,Phaeozem,,,"1960",Mollisol,Udoll,Argiudoll,Typic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68656,"68656",{WD-WISE},Americas,UY,Uruguay,0.1,-30.95,-55.55,"235","1974",N,Nitosol,d,Dystric,"2006",NT,Nitisol,,,"1960",Ultisol,Udult,Paleudult,Rhodic,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68661,"68661",{WD-WISE},Americas,UY,Uruguay,0.1,-33.08333333,-56.5,"104","1974",H,Phaeozem,h,Haplic,"2006",PH,Phaeozem,,,"1960",Mollisol,Udoll,Hapludoll,Vertic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.70920,"70920","{LAC-SOTER,WD-WISE}",Americas,UY,Uruguay,0.01,-33.66972222,-57.75,"145","1974",W,Planosol,e,Eutric,"2006",PL,Planosol,,,,Alfisol,Aqualf,Albaqualf,Typic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.71386,"71386","{LAC-SOTER,WD-WISE}",Americas,UY,Uruguay,0.01,-33.34972222,-53.59,"200","1974",H,Phaeozem,g,Gleyic,"2006",PH,Phaeozem,,,,Mollisol,Aquoll,Haplaquoll,Typic,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.70826,"70826","{LAC-SOTER,WD-WISE}",Americas,UY,Uruguay,0.01,-31.32972222,-57.97,"91","1974",B,Cambisol,h,Humic,"2006",UM,Umbrisol,,,,Inceptisol,Umbrept,Haplumbrept,Typic,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
