,profile_id,country_name,clay_pond_val,bdfi33_pond_val,orgc_pond_val
0,63821,Argentina,45.53333333333333,,11.876666666666667
1,63822,Argentina,12.5,,4.166666666666667
2,63823,Argentina,16.133333333333333,,2.0
3,63824,Argentina,31.666666666666668,,17.5
4,63825,Argentina,10.533333333333333,,16.55666666666667
5,63826,Argentina,14.4,,5.379999999999999
6,63827,Argentina,22.5,,12.11
7,63828,Argentina,22.333333333333336,,11.4
8,63829,Argentina,51.53333333333333,,48.38666666666667
9,66885,Argentina,24.0,,20.3
10,66972,Argentina,38.5,,9.316666666666666
11,66973,Argentina,21.0,,23.0
12,66974,Argentina,26.4,,17.54
13,66975,Argentina,30.9,,19.67
14,66976,Argentina,27.0,,20.55
15,66977,Argentina,28.5,,16.689999999999998
16,66978,Argentina,23.133333333333333,,20.78666666666667
17,66979,Argentina,24.166666666666664,,14.693333333333333
18,66980,Argentina,22.133333333333333,,12.626666666666665
19,66981,Argentina,19.7,,22.673333333333332
20,66982,Argentina,36.333333333333336,,6.1
21,66983,Argentina,28.766666666666666,,7.46
22,66984,Argentina,25.666666666666664,,14.5
23,66985,Argentina,22.066666666666666,,12.12
24,68099,Argentina,23.733333333333334,,17.799999999999997
25,68457,Argentina,6.0,,4.0
26,68458,Argentina,5.533333333333333,,3.3666666666666667
27,68459,Argentina,8.0,,3.4
28,68460,Argentina,3.0,,
29,68461,Argentina,18.666666666666668,,13.466666666666665
30,68462,Argentina,19.866666666666667,,14.4
31,68463,Argentina,7.633333333333334,,5.623333333333333
32,68464,Argentina,17.2,,8.7
33,68465,Argentina,13.5,,9.0
34,68466,Argentina,11.666666666666666,,7.699999999999999
35,68467,Argentina,20.0,,13.0
36,68468,Argentina,16.166666666666668,,21.759999999999998
37,68469,Argentina,11.0,,14.0
38,68470,Argentina,30.2,,17.54
39,68471,Argentina,22.566666666666666,,23.183333333333334
40,68472,Argentina,23.4,,31.21333333333334
41,68473,Argentina,20.0,,22.1
42,68474,Argentina,7.0,,5.8
43,68475,Argentina,6.0,,2.0
44,68476,Argentina,7.733333333333333,,3.64
45,68477,Argentina,7.333333333333334,,2.066666666666667
46,68478,Argentina,33.46666666666667,,19.83
47,68479,Argentina,21.46666666666667,,22.040000000000003
48,68480,Argentina,46.3,,26.766666666666666
49,68481,Argentina,35.0,,15.160000000000002
50,68482,Argentina,16.5,,
51,68483,Argentina,10.333333333333334,,6.666666666666667
52,68484,Argentina,7.666666666666666,,3.5
53,68485,Argentina,17.133333333333333,,9.333333333333332
54,71750,Argentina,12.666666666666666,,46.0
55,71762,Argentina,29.0,,12.0
56,71778,Argentina,7.0,,4.466666666666667
57,71779,Argentina,14.5,,2.0
58,71780,Argentina,22.166666666666668,,13.833333333333334
59,71781,Argentina,6.0,,3.0
60,71782,Argentina,6.699999999999999,,7.533333333333333
61,71783,Argentina,18.0,,18.0
62,71784,Argentina,8.333333333333332,,3.666666666666667
63,71785,Argentina,40.0,,13.0
64,71786,Argentina,4.0,,
65,71787,Argentina,17.0,,9.0
66,71788,Argentina,45.0,,3.0
67,71789,Argentina,34.0,,4.066666666666666
68,71790,Argentina,9.0,,
69,71791,Argentina,10.0,,
70,71792,Argentina,28.333333333333336,,
71,71793,Argentina,8.466666666666667,,5.133333333333334
72,71794,Argentina,18.833333333333332,,13.700000000000001
73,71795,Argentina,24.6,,27.3
74,71796,Argentina,18.933333333333334,,12.266666666666666
75,71797,Argentina,1.0,,17.0
76,71798,Argentina,1.0,,8.0
77,71799,Argentina,32.06666666666666,,8.9
78,71800,Argentina,1.0,,1.0
79,71804,Argentina,39.33333333333333,,
80,71805,Argentina,15.0,,11.8
81,71806,Argentina,19.5,,19.0
82,71807,Argentina,7.0,,199.66666666666666
83,71808,Argentina,70.33333333333334,,13.166666666666666
84,71809,Argentina,32.8,,1.2
85,71810,Argentina,20.266666666666666,,5.933333333333334
86,71811,Argentina,33.5,,11.0
87,71812,Argentina,18.0,,16.5
88,71813,Argentina,9.0,,22.099999999999998
89,71814,Argentina,27.5,,
90,71815,Argentina,44.5,,
91,71816,Argentina,49.2,,
92,71817,Argentina,39.1,,
93,71818,Argentina,13.633333333333333,,
94,71819,Argentina,1.6666666666666667,,
95,71820,Argentina,26.666666666666668,,
96,71821,Argentina,24.666666666666668,,0.0
97,71822,Argentina,38.33333333333333,,16.733333333333334
98,71823,Argentina,37.33333333333333,,15.0
99,71824,Argentina,27.066666666666666,,24.4
100,71825,Argentina,25.46666666666667,,14.2
101,71826,Argentina,19.5,,2.7666666666666666
102,71827,Argentina,12.0,,14.0
103,71828,Argentina,16.333333333333332,,6.866666666666666
104,71829,Argentina,12.433333333333334,,
105,71830,Argentina,15.666666666666668,,
106,71831,Argentina,6.0,,
107,71832,Argentina,28.366666666666667,,
108,71833,Argentina,26.666666666666664,,
109,71834,Argentina,9.333333333333334,,
110,71835,Argentina,23.333333333333336,,
111,71836,Argentina,18.666666666666668,,3.6666666666666665
112,71837,Argentina,7.266666666666667,,4.733333333333333
113,71838,Argentina,9.0,,1.0
114,71839,Argentina,7.5,,3.0
115,71840,Argentina,11.933333333333334,,7.066666666666666
116,71841,Argentina,17.466666666666665,,7.933333333333334
117,71842,Argentina,9.333333333333332,,34.0
118,71843,Argentina,31.333333333333332,,16.0
119,71844,Argentina,37.93333333333334,,
120,71845,Argentina,5.0,,
121,71846,Argentina,12.0,,
122,71847,Argentina,8.333333333333334,,
123,71848,Argentina,7.933333333333334,,
124,71849,Argentina,10.433333333333334,,0.0
125,71850,Argentina,17.733333333333334,,10.866666666666667
126,71851,Argentina,8.966666666666667,,10.733333333333334
127,71852,Argentina,7.866666666666667,,6.133333333333333
128,71853,Argentina,20.3,,27.2
129,71854,Argentina,16.666666666666664,,30.666666666666668
130,71856,Argentina,9.6,,4.0
131,71857,Argentina,20.0,,
132,71858,Argentina,1.8,,
133,71859,Argentina,1.0,,
134,71860,Argentina,8.0,,
135,71861,Argentina,7.866666666666667,,
136,71862,Argentina,27.933333333333334,,
137,71863,Argentina,17.46666666666667,,
138,71864,Argentina,22.233333333333334,,3.2666666666666666
139,71865,Argentina,7.1,,20.2
140,71866,Argentina,11.733333333333334,,28.0
141,71867,Argentina,13.266666666666666,,97.4
142,71868,Argentina,49.0,,22.666666666666668
143,71869,Argentina,37.5,,41.0
